ctuid,ai_own_s0,ai_own_s1,ai_own_s2,ai_own_change_s1,ai_own_change_s2
2021S05075350098.00,0.033701747648871044,0.038305394579408396,0.033701747648871044,0.0046036469305373515,0.0
2021S05075350099.00,0.021223839390032917,0.021223839390032917,0.02621361787494485,0.0,0.004989778484911934
2021S05075350100.00,0.043948066531128545,0.04970618869645669,0.043948066531128545,0.0057581221653281445,0.0
2021S05075350101.00,0.024072676892050754,0.024072676892050754,0.024072676892050754,0.0,0.0
2021S05075350102.02,0.03976502346566568,0.03976502346566568,0.060054400843515335,0.0,0.02028937737784965
2021S05075350102.03,0.03752868602658168,0.03752868602658168,0.03825496074819817,0.0,0.0007262747216164878
2021S05075350102.04,0.022632431266030626,0.022699020303149152,0.022632431266030626,6.658903711852585e-05,0.0
2021S05075350102.05,0.028146514519936258,0.028146514519936258,0.028146514519936258,0.0,0.0
2021S05075350103.00,0.034291562524288804,0.034291562524288804,0.034291562524288804,0.0,0.0
2021S05075350104.00,0.03678962337042907,0.03678962337042907,0.03678962337042907,0.0,0.0
2021S05075350105.00,0.03178827846001572,0.03178827846001572,0.03178827846001572,0.0,0.0
2021S05075350106.00,0.04114987502914659,0.041371995990402505,0.04487416643762732,0.0002221209612559144,0.003724291408480733
2021S05075350107.00,0.040738376278855126,0.040738376278855126,0.040738376278855126,0.0,0.0
2021S05075350108.00,0.028187664394965416,0.028187664394965416,0.029192686602859137,0.0,0.0010050222078937208
2021S05075350109.00,0.03976377397553323,0.04336822787597543,0.03976377397553323,0.0036044539004422005,0.0
2021S05075350110.00,0.033331398773608724,0.03663545031668204,0.033331398773608724,0.0033040515430733178,0.0
2021S05075350111.00,0.0381686085729533,0.0381686085729533,0.040307430752032206,0.0,0.002138822179078903
2021S05075350112.00,0.034442445399395685,0.04159727566922152,0.034442445399395685,0.007154830269825836,0.0
2021S05075350113.00,0.021526528374622312,0.023953849787466324,0.021526528374622312,0.002427321412844012,0.0
2021S05075350114.00,0.022648258141041835,0.022648258141041835,0.022952559949460025,0.0,0.0003043018084181899
2021S05075350115.00,0.03147965439729713,0.039743710281872485,0.03147965439729713,0.008264055884575357,0.0
2021S05075350116.00,0.02551292251807087,0.028927672066828967,0.02551292251807087,0.003414749548758096,0.0
2021S05075350117.00,0.0276527160195865,0.029704877009245633,0.0276527160195865,0.002052160989659133,0.0
2021S05075350118.00,0.019258141513640598,0.019258141513640598,0.021646061707878826,0.0,0.002387920194238228
2021S05075350119.00,0.018887792638378278,0.027306632831211413,0.018887792638378278,0.008418840192833135,0.0
2021S05075350120.00,0.03296104989834641,0.0336023663575467,0.03662941453549533,0.0006413164592002918,0.0036683646371489173
2021S05075350121.00,0.028917651904044103,0.03285610839718415,0.03126898711577494,0.003938456493140046,0.0023513352117308407
2021S05075350122.00,0.0199576893891361,0.0199576893891361,0.0199576893891361,0.0,0.0
2021S05075350123.00,0.0432073687806039,0.04816208438017716,0.0432073687806039,0.0049547155995732645,0.0
2021S05075350124.00,0.02271473101608891,0.02578690425560732,0.035822688610233445,0.0030721732395184095,0.013107957594144536
2021S05075350125.00,0.03412500350631371,0.03412500350631371,0.03412500350631371,0.0,0.0
2021S05075350126.00,0.03555349202518264,0.03555349202518264,0.03555349202518264,0.0,0.0
2021S05075350127.00,0.0328653968775833,0.03531417370684576,0.0328653968775833,0.002448776829262457,0.0
2021S05075350128.02,0.03796075971438773,0.045520671841123655,0.03796075971438773,0.007559912126735922,0.0
2021S05075350128.04,0.04086608278756625,0.04086608278756625,0.04086608278756625,0.0,0.0
2021S05075350128.05,0.02501694389189177,0.025525259040561223,0.054338583457307035,0.000508315148669454,0.029321639565415267
2021S05075350128.06,0.03629418977570728,0.05646017749546841,0.03629418977570728,0.02016598771976113,0.0
2021S05075350129.00,0.020369188139427556,0.0204232060652966,0.021069465635830946,5.401792586904458e-05,0.0007002774964033898
2021S05075350130.00,0.01779126949789572,0.022654276377244688,0.01779126949789572,0.004863006879348968,0.0
2021S05075350131.00,0.014567055760317887,0.015504382339032431,0.014567055760317887,0.0009373265787145438,0.0
2021S05075350132.00,0.018363131731756657,0.018363131731756657,0.020327097245083782,0.0,0.0019639655133271254
2021S05075350133.00,0.01435101891641487,0.01435101891641487,0.01724681120101958,0.0,0.002895792284604711
2021S05075350134.00,0.03313647831294436,0.03659915341019544,0.033672587260776855,0.0034626750972510806,0.0005361089478324935
2021S05075350135.00,0.018980379857193867,0.018980379857193867,0.018980379857193867,0.0,0.0
2021S05075350136.01,0.03240552658545294,0.05729124172436648,0.03240552658545294,0.024885715138913543,0.0
2021S05075350136.02,0.03703488752623193,0.040682809049405626,0.03703488752623193,0.0036479215231736972,0.0
