ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value
2021S05075350452.03,5350452.03,5350452.03,5280.0,2043.0,1985.0,98000.0,87000.0,0.3383458646616541,1320.0,675.0,950000.0,15720.0,1260.0,1310.0,950000.0
2021S05075350452.05,5350452.05,5350452.05,6411.0,1909.0,1860.0,125000.0,108000.0,0.16712328767123288,1525.0,305.0,1000000.0,28080.0,2600.0,2340.0,1000000.0
2021S05075350452.06,5350452.06,5350452.06,4573.0,1318.0,1300.0,123000.0,107000.0,0.1660377358490566,1110.0,220.0,1000000.0,27360.0,2440.0,2280.0,1000000.0
2021S05075350452.07,5350452.07,5350452.07,5309.0,1866.0,1835.0,123000.0,105000.0,0.10626702997275204,1630.0,195.0,950000.0,24720.0,1460.0,2060.0,950000.0
2021S05075350455.00,5350455.00,5350455.00,9009.0,3135.0,3035.0,118000.0,101000.0,0.1118421052631579,2695.0,340.0,900000.0,14400.0,1940.0,1200.0,900000.0
2021S05075350456.01,5350456.01,5350456.01,11526.0,3925.0,3745.0,122000.0,104000.0,0.2073976221928666,2995.0,785.0,1200000.0,29520.0,2500.0,2460.0,1200000.0
2021S05075350456.02,5350456.02,5350456.02,10104.0,3386.0,3285.0,118000.0,102000.0,0.1567732115677321,2770.0,515.0,1000000.0,27600.0,2240.0,2300.0,1000000.0
2021S05075350456.03,5350456.03,5350456.03,3998.0,1423.0,1385.0,115000.0,100000.0,0.11895910780669144,1185.0,160.0,1000000.0,19200.0,1360.0,1600.0,1000000.0
2021S05075350460.01,5350460.01,5350460.01,8659.0,2830.0,2755.0,154000.0,126000.0,0.10849909584086799,2470.0,300.0,1900000.0,22320.0,2620.0,1860.0,1900000.0
2021S05075350460.02,5350460.02,5350460.02,3503.0,1375.0,1270.0,115000.0,99000.0,0.19123505976095617,1015.0,240.0,1800000.0,13800.0,1880.0,1150.0,1800000.0
