ctuid,near_subway_500m,near_rapid_500m,n_subway_stops_800m,n_rapid_stops_800m,n_all_stops_800m,dist_nearest_subway_m,dist_nearest_rapid_m,n_subway_stops_800m_norm,n_rapid_stops_800m_norm,n_all_stops_800m_norm,transit_indicator
2021S05075350032.00,0,1,0,39,62,890.9559898581563,274.74886021239905,0.0,0.6724137931034483,0.6888888888888889,0.6724137931034483
2021S05075350033.00,0,1,0,58,78,886.0859903113517,216.45039293900163,0.0,1.0,0.8666666666666667,1.0
2021S05075350035.00,1,1,12,50,85,293.11090912801313,95.6311817346527,0.8,0.8620689655172413,0.9444444444444444,0.8620689655172413
2021S05075350036.00,1,1,5,53,57,436.8843152805134,240.120154289628,0.3333333333333333,0.9137931034482759,0.6333333333333333,0.9137931034482759
2021S05075350037.00,1,1,5,48,56,454.74408147589634,279.546688926445,0.3333333333333333,0.8275862068965517,0.6222222222222222,0.8275862068965517
2021S05075350038.00,0,1,0,48,48,1124.7022438563151,277.4937554658786,0.0,0.8275862068965517,0.5333333333333333,0.8275862068965517
2021S05075350039.00,0,1,0,48,51,1147.9288891795763,225.79006971036233,0.0,0.8275862068965517,0.5666666666666667,0.8275862068965517
2021S05075350040.00,0,1,0,40,44,1765.2082627987193,306.83784585348496,0.0,0.6896551724137931,0.4888888888888889,0.6896551724137931
2021S05075350041.00,0,1,0,32,32,1316.7669014566557,230.873171097771,0.0,0.5517241379310345,0.35555555555555557,0.5517241379310345
2021S05075350042.00,0,1,0,23,37,1224.9763510600267,301.80250517378886,0.0,0.39655172413793105,0.4111111111111111,0.39655172413793105
2021S05075350043.00,0,1,0,30,44,1803.204465801974,280.8626227111723,0.0,0.5172413793103449,0.4888888888888889,0.5172413793103449
2021S05075350045.00,0,1,0,25,49,1112.9918504301859,179.5528782660606,0.0,0.43103448275862066,0.5444444444444444,0.43103448275862066
2021S05075350046.00,0,1,0,29,53,1437.0224464898179,262.1269490650707,0.0,0.5,0.5888888888888889,0.5
2021S05075350048.00,0,1,0,23,34,1726.1013190648716,223.77469742600618,0.0,0.39655172413793105,0.37777777777777777,0.39655172413793105
2021S05075350049.00,0,1,0,21,30,1609.9554257250625,274.9457199478312,0.0,0.3620689655172414,0.3333333333333333,0.3620689655172414
2021S05075350051.00,0,1,3,31,53,657.5525353495692,37.47824480881071,0.2,0.5344827586206896,0.5888888888888889,0.5344827586206896
2021S05075350052.00,0,1,2,35,52,761.9964571689156,115.35861302854094,0.13333333333333333,0.603448275862069,0.5777777777777777,0.603448275862069
2021S05075350053.00,0,1,2,24,59,538.3828666434292,398.265914519587,0.13333333333333333,0.41379310344827586,0.6555555555555556,0.41379310344827586
2021S05075350054.00,0,1,3,19,56,501.22949607277235,420.20290612186363,0.2,0.3275862068965517,0.6222222222222222,0.3275862068965517
2021S05075350055.00,1,1,3,13,60,495.35653424190895,456.12114423472235,0.2,0.22413793103448276,0.6666666666666666,0.22413793103448276
2021S05075350056.00,0,1,4,12,51,581.9222052393671,429.30720502677786,0.26666666666666666,0.20689655172413793,0.5666666666666667,0.20689655172413793
2021S05075350057.00,1,1,4,14,43,322.33386209109307,322.0422573552842,0.26666666666666666,0.2413793103448276,0.4777777777777778,0.2413793103448276
2021S05075350058.00,0,1,1,27,45,790.9552631771874,283.28260499187934,0.06666666666666667,0.46551724137931033,0.5,0.46551724137931033
2021S05075350059.00,0,1,0,44,60,801.4511733027858,295.4423977616886,0.0,0.7586206896551724,0.6666666666666666,0.7586206896551724
2021S05075350060.00,1,1,8,36,63,326.2987899847075,312.52153739184985,0.5333333333333333,0.6206896551724138,0.7,0.6206896551724138
2021S05075350061.00,1,1,10,42,71,467.1830553145464,369.5929982125598,0.6666666666666666,0.7241379310344828,0.7888888888888889,0.7241379310344828
2021S05075350064.00,1,1,9,14,67,336.23598552858886,336.23598552858886,0.6,0.2413793103448276,0.7444444444444445,0.2413793103448276
2021S05075350066.00,0,1,1,21,54,798.3461572677435,220.70621979176087,0.06666666666666667,0.3620689655172414,0.6,0.3620689655172414
2021S05075350067.00,1,1,3,7,27,471.27301128895385,471.27301128895385,0.2,0.1206896551724138,0.3,0.1206896551724138
2021S05075350068.00,0,1,0,34,47,1086.818517037903,231.7841633576264,0.0,0.5862068965517241,0.5222222222222223,0.5862068965517241
2021S05075350069.00,0,1,0,27,37,1013.9924531428851,201.93356389329082,0.0,0.46551724137931033,0.4111111111111111,0.46551724137931033
2021S05075350070.00,1,1,4,17,33,357.7911016453305,52.78370361505044,0.26666666666666666,0.29310344827586204,0.36666666666666664,0.29310344827586204
2021S05075350071.00,0,0,4,10,40,521.1435694652303,521.1435694652303,0.26666666666666666,0.1724137931034483,0.4444444444444444,0.1724137931034483
2021S05075350073.00,0,1,0,14,44,1137.9418221430763,172.3130668743256,0.0,0.2413793103448276,0.4888888888888889,0.2413793103448276
2021S05075350074.00,0,1,0,13,38,1055.2235980577516,263.33349186327865,0.0,0.22413793103448276,0.4222222222222222,0.22413793103448276
2021S05075350075.00,1,1,4,6,43,455.23789014056155,455.23789014056155,0.26666666666666666,0.10344827586206896,0.4777777777777778,0.10344827586206896
2021S05075350076.00,1,1,4,15,50,439.2340612574109,439.2340612574109,0.26666666666666666,0.25862068965517243,0.5555555555555556,0.25862068965517243
2021S05075350077.00,0,1,0,21,40,979.5784520089767,67.26514184065357,0.0,0.3620689655172414,0.4444444444444444,0.3620689655172414
2021S05075350078.00,0,1,0,22,48,916.6778417410377,258.1009341457206,0.0,0.3793103448275862,0.5333333333333333,0.3793103448275862
2021S05075350079.00,0,1,0,14,54,888.3456042532409,429.7718861646038,0.0,0.2413793103448276,0.6,0.2413793103448276
2021S05075350081.00,1,1,4,4,55,297.23687317836647,297.23687317836647,0.26666666666666666,0.06896551724137931,0.6111111111111112,0.06896551724137931
2021S05075350082.00,1,1,5,5,53,182.1257765281443,182.1257765281443,0.3333333333333333,0.08620689655172414,0.5888888888888889,0.08620689655172414
2021S05075350083.00,1,1,6,6,63,121.06542204687582,121.06542204687582,0.4,0.10344827586206896,0.7,0.10344827586206896
2021S05075350084.00,1,1,5,8,52,321.41422412209613,321.41422412209613,0.3333333333333333,0.13793103448275862,0.5777777777777777,0.13793103448275862
2021S05075350085.00,1,1,4,11,34,223.59959271780914,165.2066682808335,0.26666666666666666,0.1896551724137931,0.37777777777777777,0.1896551724137931
2021S05075350086.00,0,0,0,0,14,1170.8542331726494,1170.8542331726494,0.0,0.0,0.15555555555555556,0.0
2021S05075350087.00,0,0,3,3,32,582.1719180240855,582.1719180240855,0.2,0.05172413793103448,0.35555555555555557,0.05172413793103448
2021S05075350088.00,1,1,11,11,62,230.34152195703697,230.34152195703697,0.7333333333333333,0.1896551724137931,0.6888888888888889,0.1896551724137931
2021S05075350089.00,1,1,14,14,70,223.58756553483582,223.58756553483582,0.9333333333333333,0.2413793103448276,0.7777777777777778,0.2413793103448276
2021S05075350090.00,1,1,6,6,48,337.53931085275156,337.53931085275156,0.4,0.10344827586206896,0.5333333333333333,0.10344827586206896
2021S05075350092.00,1,1,8,18,60,328.81713201904853,328.81713201904853,0.5333333333333333,0.3103448275862069,0.6666666666666666,0.3103448275862069
2021S05075350093.00,1,1,4,9,47,480.14660063920104,480.14660063920104,0.26666666666666666,0.15517241379310345,0.5222222222222223,0.15517241379310345
2021S05075350094.00,0,0,4,4,60,521.2527712082281,521.2527712082281,0.26666666666666666,0.06896551724137931,0.6666666666666666,0.06896551724137931
2021S05075350095.00,1,1,3,3,58,461.294002998959,461.294002998959,0.2,0.05172413793103448,0.6444444444444445,0.05172413793103448
2021S05075350098.00,0,0,2,8,61,596.6325971727362,596.6325971727362,0.13333333333333333,0.13793103448275862,0.6777777777777778,0.13793103448275862
2021S05075350099.00,1,1,4,14,66,383.79380587751194,368.6911618259194,0.26666666666666666,0.2413793103448276,0.7333333333333333,0.2413793103448276
2021S05075350100.00,0,0,0,0,57,1014.2673516733533,999.5186216962289,0.0,0.0,0.6333333333333333,0.0
2021S05075350101.00,0,0,0,0,49,1139.1643168502626,888.9311986729826,0.0,0.0,0.5444444444444444,0.0
2021S05075350103.00,0,0,4,4,44,520.7466063132495,520.7466063132495,0.26666666666666666,0.06896551724137931,0.4888888888888889,0.06896551724137931
2021S05075350104.00,0,0,4,4,44,523.9174286413478,523.9174286413478,0.26666666666666666,0.06896551724137931,0.4888888888888889,0.06896551724137931
2021S05075350105.00,0,0,0,0,52,1339.0123153656523,973.7909599402981,0.0,0.0,0.5777777777777777,0.0
2021S05075350106.00,0,1,0,5,39,1991.6722989904526,78.41261155602285,0.0,0.08620689655172414,0.43333333333333335,0.08620689655172414
2021S05075350107.00,0,1,0,10,53,2401.550354521188,423.2160451313214,0.0,0.1724137931034483,0.5888888888888889,0.1724137931034483
2021S05075350108.00,0,1,0,9,55,1538.8863521247436,446.04281327136204,0.0,0.15517241379310345,0.6111111111111112,0.15517241379310345
2021S05075350109.00,0,0,0,0,53,1231.2617080964628,808.1705686085556,0.0,0.0,0.5888888888888889,0.0
2021S05075350110.00,0,1,0,11,49,1725.8019739391557,285.0683169137794,0.0,0.1896551724137931,0.5444444444444444,0.1896551724137931
2021S05075350111.00,0,1,0,10,38,2419.272519991115,420.5036959144159,0.0,0.1724137931034483,0.4222222222222222,0.1724137931034483
2021S05075350112.00,0,1,0,11,44,2260.0894917547457,402.25762003652915,0.0,0.1896551724137931,0.4888888888888889,0.1896551724137931
2021S05075350113.00,0,1,0,12,48,1782.6812480452284,259.63258446803394,0.0,0.20689655172413793,0.5333333333333333,0.20689655172413793
2021S05075350114.00,0,1,0,12,46,1317.7147883062812,324.48346969905396,0.0,0.20689655172413793,0.5111111111111111,0.20689655172413793
2021S05075350115.00,0,0,0,0,52,1201.2020891895954,859.0607188151275,0.0,0.0,0.5777777777777777,0.0
2021S05075350116.00,0,0,1,11,58,762.3638969323308,509.6812802024879,0.06666666666666667,0.1896551724137931,0.6444444444444445,0.1896551724137931
2021S05075350117.00,1,1,3,3,44,260.96008734435577,260.96008734435577,0.2,0.05172413793103448,0.4888888888888889,0.05172413793103448
2021S05075350118.00,1,1,3,16,52,477.43590332286095,416.3155615679547,0.2,0.27586206896551724,0.5777777777777777,0.27586206896551724
2021S05075350119.00,0,1,1,15,33,777.0419363466622,77.96370347605776,0.06666666666666667,0.25862068965517243,0.36666666666666664,0.25862068965517243
2021S05075350120.00,1,1,4,11,45,395.1124024465975,395.1124024465975,0.26666666666666666,0.1896551724137931,0.5,0.1896551724137931
2021S05075350121.00,1,1,4,13,40,392.61761831206195,233.71977231245123,0.26666666666666666,0.22413793103448276,0.4444444444444444,0.22413793103448276
2021S05075350122.00,0,0,4,12,44,597.9511250693973,506.58244107780666,0.26666666666666666,0.20689655172413793,0.4888888888888889,0.20689655172413793
2021S05075350123.00,1,1,3,5,37,292.6264464653086,292.6264464653086,0.2,0.08620689655172414,0.4111111111111111,0.08620689655172414
2021S05075350124.00,1,1,4,9,31,232.5120653231279,176.9957421569096,0.26666666666666666,0.15517241379310345,0.34444444444444444,0.15517241379310345
2021S05075350125.00,0,0,0,0,23,1010.2783345253291,910.4189788719221,0.0,0.0,0.25555555555555554,0.0
2021S05075350126.00,0,0,0,0,33,1144.2653702714633,1144.2653702714633,0.0,0.0,0.36666666666666664,0.0
2021S05075350127.00,0,0,0,4,39,1276.8894484645768,655.0673015264941,0.0,0.06896551724137931,0.43333333333333335,0.06896551724137931
2021S05075350129.00,1,1,4,8,64,481.5916120544142,481.5916120544142,0.26666666666666666,0.13793103448275862,0.7111111111111111,0.13793103448275862
2021S05075350130.00,0,0,0,0,26,1086.043042830491,945.2218028570444,0.0,0.0,0.28888888888888886,0.0
2021S05075350131.00,0,0,0,0,17,1031.3213470973637,920.6724616679255,0.0,0.0,0.18888888888888888,0.0
2021S05075350132.00,1,1,3,7,44,411.01417027825653,411.01417027825653,0.2,0.1206896551724138,0.4888888888888889,0.1206896551724138
2021S05075350133.00,0,1,0,4,37,1349.005170824317,432.62179249779774,0.0,0.06896551724137931,0.4111111111111111,0.06896551724137931
2021S05075350134.00,0,1,0,4,38,1196.0035763341818,419.3292146862431,0.0,0.06896551724137931,0.4222222222222222,0.06896551724137931
2021S05075350135.00,0,0,2,6,51,578.1817369125597,526.5851423666127,0.13333333333333333,0.10344827586206896,0.5666666666666667,0.10344827586206896
2021S05075350137.00,0,0,0,2,26,1033.9260824269381,565.3741343711132,0.0,0.034482758620689655,0.28888888888888886,0.034482758620689655
2021S05075350138.00,0,0,2,2,44,668.529213256443,668.529213256443,0.13333333333333333,0.034482758620689655,0.4888888888888889,0.034482758620689655
2021S05075350140.00,0,0,0,0,13,1688.8561659689622,1189.8883372928226,0.0,0.0,0.14444444444444443,0.0
2021S05075350142.00,0,0,2,2,42,639.7832631999277,639.7832631999277,0.13333333333333333,0.034482758620689655,0.4666666666666667,0.034482758620689655
2021S05075350150.00,0,0,2,2,19,508.0757987249861,508.0757987249861,0.13333333333333333,0.034482758620689655,0.2111111111111111,0.034482758620689655
2021S05075350151.00,0,0,0,0,36,1479.1687229137478,1479.1687229137478,0.0,0.0,0.4,0.0
2021S05075350152.00,0,0,0,0,64,1505.1015939790689,1505.1015939790689,0.0,0.0,0.7111111111111111,0.0
2021S05075350153.00,0,0,0,0,70,2112.6848073209,1597.8094030868747,0.0,0.0,0.7777777777777778,0.0
2021S05075350154.00,0,0,0,0,23,2790.410145526238,2106.202996666599,0.0,0.0,0.25555555555555554,0.0
2021S05075350155.00,0,0,0,0,31,2803.6304341953314,901.3262624190234,0.0,0.0,0.34444444444444444,0.0
2021S05075350157.00,0,0,0,2,63,3815.308680202148,597.815692950816,0.0,0.034482758620689655,0.7,0.034482758620689655
2021S05075350158.00,0,0,0,4,57,3608.023907537105,590.5883396479411,0.0,0.06896551724137931,0.6333333333333333,0.06896551724137931
2021S05075350160.00,0,0,0,2,33,2240.827632320408,713.4481525081942,0.0,0.034482758620689655,0.36666666666666664,0.034482758620689655
