ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value,population_2016,occupied_dwellings_2016,median_household_income_2016,renter_share_2016,home_price_2016,annual_rent_2016,units_2021,units_2016,delta_units,income_growth,rent_growth,home_price_growth,renter_share_change,dev_occurred
2021S05075350031.00,5350031.00,5350031.00,5871.0,3263.0,2845.0,52000.0,48800.0,0.8089887640449438,510.0,2160.0,650000.0,11040.0,2000.0,920.0,650000.0,6274.0,2765.0,34848.0,0.8592321755027422,375358.0,8532.0,3263.0,2765.0,498.0,0.4921946740128558,0.2939521800281294,0.7316801560110614,-0.050243411457798426,1
2021S05075350032.00,5350032.00,5350032.00,6042.0,4010.0,3320.0,41600.0,38800.0,0.8303571428571429,570.0,2790.0,1000000.0,12840.0,2160.0,1070.0,1000000.0,5363.0,2641.0,25736.0,0.8528864059590316,900456.0,8580.0,4010.0,2641.0,1369.0,0.616412806963009,0.4965034965034965,0.11054843323827039,-0.02252926310188874,1
2021S05075350033.00,5350033.00,5350033.00,5515.0,3557.0,3125.0,36400.0,34800.0,0.8314424635332253,520.0,2565.0,900000.0,9600.0,1760.0,800.0,900000.0,5042.0,2733.0,22208.0,0.8680297397769516,752935.0,6012.0,3557.0,2733.0,824.0,0.6390489913544669,0.5968063872255489,0.1953223053782863,-0.036587276243726374,1
2021S05075350034.01,5350034.01,5350034.01,5337.0,4071.0,3155.0,62400.0,56000.0,0.684887459807074,985.0,2130.0,800000.0,19680.0,1640.0,1640.0,800000.0,4554.0,2268.0,59051.0,0.5854700854700855,501480.0,18276.0,4071.0,2268.0,1803.0,0.0567136881678549,0.07682206172028891,0.595277977187525,0.0994173743369885,1
2021S05075350034.02,5350034.02,5350034.02,7992.0,5993.0,4895.0,61600.0,54800.0,0.6957403651115619,1495.0,3430.0,700000.0,20640.0,1880.0,1720.0,700000.0,5147.0,3055.0,53472.0,0.6677685950413224,400027.0,16824.0,5993.0,3055.0,2938.0,0.15200478755236385,0.2268188302425107,0.7498818829728994,0.027971770070239543,1
2021S05075350035.00,5350035.00,5350035.00,10506.0,7669.0,6145.0,66000.0,58400.0,0.6979591836734694,1850.0,4275.0,750000.0,24000.0,1490.0,2000.0,750000.0,9876.0,5707.0,47671.0,0.6713286713286714,501432.0,20952.0,7669.0,5707.0,1962.0,0.38448952193157265,0.145475372279496,0.49571626860671036,0.026630512344798074,1
2021S05075350036.00,5350036.00,5350036.00,5685.0,3909.0,3400.0,65500.0,58000.0,0.6773722627737226,1100.0,2320.0,700000.0,20400.0,1760.0,1700.0,700000.0,5487.0,3272.0,49948.0,0.6972477064220184,448526.0,15636.0,3909.0,3272.0,637.0,0.31136381837110594,0.3046815042210284,0.5606676090126325,-0.019875443648295743,1
2021S05075350037.00,5350037.00,5350037.00,4802.0,2939.0,2355.0,61200.0,55600.0,0.7237687366167024,640.0,1690.0,1000000.0,19200.0,1430.0,1600.0,1000000.0,4494.0,2116.0,40909.0,0.7594339622641509,650854.0,14712.0,2939.0,2116.0,823.0,0.4960033244518321,0.30505709624796085,0.5364428888813774,-0.03566522564744856,1
2021S05075350038.00,5350038.00,5350038.00,3605.0,2046.0,1725.0,51600.0,47600.0,0.6435045317220544,585.0,1065.0,1000000.0,17160.0,1400.0,1430.0,1000000.0,3772.0,1638.0,41771.0,0.6585365853658537,799558.0,11112.0,2046.0,1638.0,408.0,0.23530679179334946,0.5442764578833693,0.2506910067812466,-0.015032053643799337,1
2021S05075350039.00,5350039.00,5350039.00,4505.0,2279.0,2045.0,63600.0,57600.0,0.6824644549763034,670.0,1440.0,800000.0,13800.0,1940.0,1150.0,800000.0,4192.0,1709.0,39245.0,0.7214076246334311,499999.0,9000.0,2279.0,1709.0,570.0,0.6205886100140146,0.5333333333333333,0.6000032000064001,-0.03894316965712774,1
